sampn,sample_id,hhsize,hhveh,sectr,own,rooms,incom,project,pktno,hhidu,resty,hhcrd,hhtaz,X1,wght2015,numWorkers
16259,4018560,1,1,3,1,7,5,4,30183104,1,2,0101000020F7070000A2F01480E3B10741EE2CC8FE2BF02241,8312,526,10.9370586784688,1
16260,4018570,4,2,3,3,6,5,4,30183104,2,2,0101000020F7070000216B80ACB7A30741845C498380F02241,8312,527,61.6201937636726,3
16261,4018580,5,1,3,2,4,98,4,30183104,2,2,0101000020F70700002E7FF6BC5AA40741A306427FD8F02241,8312,528,15.9052099029754,2
16262,4018590,6,2,3,1,6,98,4,30183104,1,1,0101000020F7070000CD26F5CC33B20741DFDB403DD3EF2241,8312,529,111.178558576382,2
16488,4020850,10,1,2,1,4,1,4,30384401,1,3,0101000020F7070000B61C462C925D0841565B39AB6E182341,8443,530,45.3161087583773,1
16491,4020880,8,2,2,1,5,2,4,30384401,1,3,0101000020F70700000BA0F951535508412A12A2BFE6212341,8441,531,71.7019017701398,1
16492,4020890,11,0,2,1,4,2,4,30384401,1,3,0101000020F70700004AD44C54EC550841DE7969516F1C2341,8442,532,28.7015756933924,1
16493,4020900,3,1,2,1,5,3,4,30384401,1,3,0101000020F707000053699A9F225B08418E68859CD1182341,8443,533,62.4018956281116,2
16494,4020910,5,0,2,2,3,2,4,30384401,1,3,0101000020F7070000E6087556505E08413B617F36DB172341,8443,534,93.6470730407951,1
16495,4020920,5,0,2,1,3,1,4,30384401,1,3,0101000020F70700009790861AB55A0841E68792EF8D1D2341,8442,535,93.6470730407951,0
16496,4020930,2,0,2,1,3,2,4,30384401,1,3,0101000020F70700007C5AB2F5BF550841A24ED3EF95222341,8441,536,9.34992200288929,1
16499,4020960,7,0,2,1,4,2,4,30384401,1,3,0101000020F70700001BEE9BF4EC5D08415A067829A3182341,8443,537,199.246399625173,2
16501,4020980,10,0,2,1,4,2,4,30384401,1,3,0101000020F7070000247321F568500841DAB3A1B171172341,8443,538,30.0707772026583,2
16502,4020990,6,1,2,1,5,3,4,30384401,1,3,0101000020F7070000026693EAA1570841DA761D74951F2341,8441,539,199.210970732163,2
16683,4022800,3,2,3,1,5,98,4,30185001,3,1,0101000020F7070000BC4590E9918A08412E528FB84E492341,8502,540,21.7763206878267,2
16685,4022820,1,1,3,1,5,3,4,30185001,2,1,0101000020F707000096FA355E5D83084194BE63C9744B2341,8502,541,9.5386979400489,1
16686,4022830,4,2,3,1,5,5,4,30185001,2,1,0101000020F7070000963096031F87084153D1371F99472341,8502,542,25.3607847727074,3
16687,4022840,5,2,3,1,5,4,4,30185001,1,1,0101000020F707000031502A0AA4870841ABDADDC61E4B2341,8502,543,7.62520398705381,2
16688,4022850,4,3,3,1,5,98,4,30185001,2,2,0101000020F7070000D7E2B25CE18B084177369585C3482341,8502,544,32.5252475839496,3
16689,4022860,3,1,3,3,4,1,4,30185001,2,1,0101000020F7070000F7297A42B3810841F6B5BDA1904D2341,8502,545,9.89378887329212,1
16690,4022870,2,1,3,1,6,1,4,30185001,2,2,0101000020F7070000BA9769818E8D08413874AFD8D04B2341,8502,546,13.0472007623149,2
16691,4022880,4,2,3,1,5,3,4,30185001,2,1,0101000020F7070000BC4590E9918A08412E528FB84E492341,8502,547,22.0672584905194,3
16693,4022900,5,2,3,1,6,5,4,30185001,1,2,0101000020F70700006AA222072B7E0841E7BBE301F5482341,8502,548,7.62520398705381,2
16695,4022920,6,1,3,2,4,3,4,30185001,5,2,0101000020F70700005D731E49A89108419C84DFF514492341,8502,549,48.4113964620055,2
16696,4022930,3,2,3,1,7,5,4,30185001,4,1,0101000020F7070000263098C6C4860841FDD3287FB74A2341,8502,550,21.7763206878267,3
16697,4022940,5,2,3,2,5,4,4,30185001,1,1,0101000020F70700001C5BE436747E08411FBB9BBAC9482341,8502,551,7.62520398705381,2
16699,4022960,2,2,3,1,3,3,4,30185002,1,1,0101000020F707000031502A0AA4870841ABDADDC61E4B2341,8502,552,16.1529510619638,0
16701,4022980,6,4,3,1,6,5,4,30185002,3,2,0101000020F7070000835EC3A8538F08411D324484FF4A2341,8502,553,32.845462493613,3
16703,4023000,3,1,3,2,2,3,4,30185002,5,1,0101000020F7070000D21FF226E8850841676D38A580472341,8502,554,9.22901784061717,1
16704,4023010,5,2,3,1,5,5,4,30185002,2,2,0101000020F707000032D5750A1F88084109555FC1D74A2341,8502,555,5,2
16705,4023020,2,2,3,1,5,3,4,30185002,1,1,0101000020F7070000DAC2DBD5A1830841FCAB6201A24C2341,8502,556,16.1529510619638,1
16707,4023040,3,2,3,1,7,5,4,30185002,3,1,0101000020F7070000A57CC4BCCB8C084194ABEE2FCC492341,8502,557,20.3131535051728,2
16708,4023050,2,1,3,1,2,1,4,30185002,3,1,0101000020F70700004CE314467A910841400742586F4A2341,8502,558,16.1529510619638,1
16710,4023070,7,2,3,3,6,2,4,30185002,2,2,0101000020F707000085898157BB87084107B9C6C3B8472341,8502,559,113.344494606913,3
16711,4023080,5,2,3,1,5,4,4,30185002,3,2,0101000020F7070000A0D5CD213A84084178610561E5462341,8502,560,7.62520398705381,2
16712,4023090,6,2,3,1,6,5,4,30185002,1,1,0101000020F7070000BC4590E9918A08412E528FB84E492341,8502,561,48.4113964620055,2
16743,4023400,4,2,3,2,4,4,4,30185005,3,1,0101000020F7070000403A262BB48D0841002D8B054A5E2341,8502,562,13.7845182630216,1
16744,4023410,2,2,3,1,5,4,4,30185005,3,1,0101000020F70700007D399138CF88084173903A488E5B2341,8502,563,30.7855107428882,2
16746,4023430,5,2,3,1,4,4,4,30185005,2,1,0101000020F70700003EAD3C30B3860841035ECF64A35B2341,8502,564,7.62520398705381,2
16748,4023450,2,2,3,1,4,4,4,30185005,2,1,0101000020F7070000EE140E24558E0841372F24856B5D2341,8502,565,13.0472007623149,1
